candidate_id,candidate_name,normalized_name,locality,locality_code,region,category_guess,discovery_source,source_url,phone_landline,phone_mobile,phone_unclassified,whatsapp_number,whatsapp_source_url,email,email_source_url,website,facebook,instagram,tiktok,address,public_contact_name,public_contact_role,contact_source,company_id_if_publicly_verified,legal_entity_name_if_publicly_verified,brands_if_visible,status,duplicate_flag,duplicate_group,information_confidence_score,information_confidence_explanation,public_legal_info_status,last_checked_at,notes
CAND-001,חומרי בניין השלום,חומרי בניין השלום,בית ג'ן,,צפון,building_materials,B144,https://www.b144.co.il/b144_sip/401C041341726C5B48140317/,,,,,,,,,,,,,,,,,,,DISCOVERED_UNVERIFIED,false,,,,NOT_CHECKED,,Category on B144 is general building materials; ceramic/sanitary relevance not yet confirmed.
CAND-002,"חומרי בנין אבו טארק בע""מ",חומרי בנין אבו טארק,באקה אל-גרביה,,צפון,building_materials,B144,https://www.b144.co.il/b144_sip/481404134470655D4C1400164377615D49/,,,,,,,,,,,,,,,,,,,POSSIBLE_DUPLICATE,true,abu-tarek-baqa,,,NOT_CHECKED,,Two B144 listing variants for what looks like the same business.
CAND-003,חומרי בניין אבו טארק-עדנאן נעאמנה,חומרי בניין אבו טארק-עדנאן נעאמנה,באקה אל-גרביה,,צפון,building_materials,B144,https://www.b144.co.il/b144_sip/481404134470655D4D12061B4673665B/,,,,,,,,,,,,,,,,,,,POSSIBLE_DUPLICATE,true,abu-tarek-baqa,,,NOT_CHECKED,,
CAND-004,ותד וג'יה חסן (חומרי בנין),ותד וג'יה חסן,באקה אל-גרביה,,צפון,building_materials,B144,https://www.b144.co.il/b144_sip/4D140413447065544A11001B/,,,,,,,,,,,,,,,,,,,DISCOVERED_UNVERIFIED,false,,,,NOT_CHECKED,,
CAND-005,ברזל ובניין מואסי,ברזל ובניין מואסי,באקה אל-גרביה,,צפון,building_materials,B144,https://www.b144.co.il/b144_sip/401C0413407260554114061B/,,,,,,,,,,,,,,,,,,,NEEDS_REVIEW,false,,,,NOT_CHECKED,,"Surname ""מואסי"" matches existing DB record ""המרכז קרמיקה מואסי — באקה"" — possibly related family business, not confirmed same entity."
CAND-006,"א.עתאמנה ובניו בע""מ",א.עתאמנה ובניו,באקה אל-גרביה,,צפון,building_materials,B144,https://www.b144.co.il/b144_sip/401C041340746C5840140113/,,,,,,,,,,,,,,,,,,,DISCOVERED_UNVERIFIED,false,,,,NOT_CHECKED,,
CAND-007,חומרי בניין בית המקצוען,חומרי בניין בית המקצוען,אום אל-פחם,,צפון,building_materials,B144,https://www.b144.co.il/b144_sip/401D0D1A4370655D4A110C1042/,,,,,,,,,,,,,,,,,,,DISCOVERED_UNVERIFIED,false,,,,NOT_CHECKED,,
CAND-008,חומרי בניין אבו סמי ובניו,חומרי בניין אבו סמי ובניו,אום אל-פחם,,צפון,building_materials,B144,https://www.b144.co.il/b144_sip/401C04134073655B4A160617/,,,,,,,,,,,,,,,,,,,DISCOVERED_UNVERIFIED,false,,,,NOT_CHECKED,,
CAND-009,"סירמקס גלרי בע""מ",סירמקס גלרי,אום אל-פחם,,צפון,ceramics_porcelain_sanitaryware,B144 + Google (enriched),https://www.b144.co.il/b144_sip/401D0D1A4370655D4C1403164D/,,,,,,,,,,,,"שכונת אלקואס 12, אום אל-פחם",,,,,,,LIKELY_RELEVANT,false,,5,5/10 — business existence and address (אלקואס 12) confirmed via B144 with a specific street address; B144 page indicates WhatsApp/email/Facebook contact options exist but exact values were not extracted in this pass (not directly visible in the fetched summary) — needs a direct page fetch or Facebook search to complete.,NOT_CHECKED,2026-08-17,"Described as porcelain tiles, showers, jacuzzis, bathroom cabinets, sanitary ware, faucets — strong category match. Phone/WhatsApp/email/Facebook URL not yet extracted — B144 page reportedly has these but values weren't captured."
CAND-010,חומרי בניין מ.ר.מ.ר,חומרי בניין מ.ר.מ.ר,אום אל-פחם,,צפון,building_materials,Dapei Zahav,https://www.d.co.il/80136110/16080/,,,,,,,,,,,,,,,,,,,DISCOVERED_UNVERIFIED,false,,,,NOT_CHECKED,,
CAND-011,"אחמד יוסף מחמוד חומרי בנין בע""מ",אחמד יוסף מחמוד חומרי בנין,אום אל-פחם,,צפון,building_materials,Dapei Zahav,https://www.d.co.il/41397050/16080/,,,,,,,,,,,,,,,,,,,DISCOVERED_UNVERIFIED,false,,,,NOT_CHECKED,,
CAND-012,קשת בענן,קשת בענן,חדרה,,צפון,building_materials,Google/B144,,,,,,,,,,,,,,,,,,,,DISCOVERED_UNVERIFIED,false,,,,NOT_CHECKED,,"Described as leading building materials/tools store offering ceramics, granite porcelain, sanitary ware, showers. Exact B144 listing URL not captured during search-summary pass."
CAND-013,חן ניסים קרמיקה,חן ניסים קרמיקה,חדרה,,צפון,building_materials,Google/B144,,,,,,,,,,,,,,,,,,,,NEEDS_REVIEW,false,,,,NOT_CHECKED,,"Possible name variant/duplicate of existing DB record ""חן קרמיקה בע""מ"" (Hadera) — not confirmed same or different entity."
CAND-014,"שריף הזימה בע""מ",שריף הזימה,כפר יאסיף,,צפון,building_materials,B144,https://www.b144.co.il/b144_sip/401C041341756C594B1C001B/,,,,,,,,,,,,,,,,,,,POSSIBLE_DUPLICATE,true,sherif-hzaimah,,,NOT_CHECKED,,"Same/similar name also surfaced under Abu Snan (matches existing DB record 'קרמיקה שריף הזימה') and Tamra — most-duplicated name in this sweep, needs address/phone verification per locality."
CAND-015,הזימה מופיד חומרי בניין,הזימה מופיד חומרי בניין,כפר יאסיף,,צפון,building_materials,B144,https://www.b144.co.il/b144_sip/401C04134079665549150517/,,,,,,,,,,,,,,,,,,,NEEDS_REVIEW,false,,,,NOT_CHECKED,,"Same surname family as Sherif Hzaimah — possibly related, not confirmed same business."
